combo_id,roe_buy,pe_buy,debt_buy,roe_sell,pe_sell,debt_sell,max_position_pct,stop_loss_pct,take_profit_pct,final_value,profit,return_pct,max_drawdown,annualized_return,total_trades,win_rate
36,0.15,12,0.4,0.08,30,0.6,0.2,0.08,0.12,120305.44915381135,20305.44915381135,20.30544915381135,0.5222635398135446,9.764976972621971,15,73.33333333333333
14,0.12,12,0.5,0.1,25,0.6,0.2,0.08,0.12,118190.11225560444,18190.112255604443,18.190112255604443,0.09544981417573152,8.787976091720752,12,83.33333333333334
23,0.12,15,0.4,0.1,30,0.55,0.2,0.08,0.12,117645.94648068695,17645.94648068695,17.64594648068695,1.0262015359692827,8.53524524031702,15,73.33333333333333
46,0.15,12,0.5,0.1,25,0.6,0.2,0.08,0.12,117495.38238074057,17495.38238074057,17.49538238074057,1.9246319819428601,8.465215308998854,11,90.0
40,0.15,12,0.4,0.1,30,0.6,0.2,0.08,0.12,116854.16699214598,16854.166992145983,16.854166992145984,0.20880117533592346,8.166475466297483,19,61.111111111111114
9,0.12,12,0.5,0.08,25,0.55,0.2,0.08,0.12,116050.96200676289,16050.962006762886,16.050962006762887,0.44774963337019186,7.791115770572,19,66.66666666666666
17,0.12,15,0.4,0.08,25,0.55,0.2,0.08,0.12,115394.62782205292,15394.62782205292,15.39462782205292,1.058745659179057,7.48343510118538,16,66.66666666666666
29,0.12,15,0.5,0.1,25,0.55,0.2,0.08,0.12,115329.07011885697,15329.070118856966,15.329070118856967,0.6268805208154521,7.452654902754012,16,68.75
62,0.15,15,0.5,0.1,25,0.6,0.2,0.08,0.12,115086.4950237061,15086.495023706098,15.086495023706098,0.8570396228346655,7.338687192000401,12,75.0
48,0.15,12,0.5,0.1,30,0.6,0.2,0.08,0.12,114591.24583129863,14591.245831298627,14.591245831298627,0.0,7.105636465132821,20,60.0
57,0.15,15,0.5,0.08,25,0.55,0.2,0.08,0.12,114112.33407877295,14112.334078772954,14.112334078772953,0.307298419764819,6.879798082397761,24,56.52173913043478
